Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
1,M015,P.S. 15 - MANHATTAN,SCA IEH,"PO18-ABATE AND REPLACE THE FLOOR IN THE FOLLOWING ROOMS: 202, 208, 210, 212, 315, 402, 406, 408,  50",Construction,Complete,7/19/2024,IEH,10/9/2024,IEH,448119.00,11869.00,SCA0000073155
1,M015,P.S. 15 - MANHATTAN,DOE - RESOA,FY24 RESO A BATHROOM UPGRADES,Construction,In-Progress,6/28/2024,DOER,,DOER,206654.00,0.00,DSF0001086173
1,M015,P.S. 15 - MANHATTAN,DOE - Skilled Trades,SCHOOLYARD RESURFACING,Construction,In-Progress,2/19/2024,DOES,,DOES,814540.00,0.00,DSF0001017369
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,4/13/2021,9/13/2021,7/1/2021,68660,76648.00,76648.00,"DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,7/6/2021,12/7/2021,11/29/2021,343300,385777.00,332314.00,"DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,7/18/2022,7/16/2024,,7724250,7190070.00,6223204.00,"DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,7/18/2022,7/16/2024,,480620,211172.00,210807.00,"DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,6/22/2023,10/23/2023,7/6/2023,4240,2496.00,2496.00,DSF0001035045
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/6/2023,1/3/2024,12/13/2023,19080,9986.00,9986.00,DSF0001035045
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,5/27/2024,5/26/2025,,245920,224898.00,120644.00,DSF0001035045
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,5/27/2024,5/26/2025,,126937,109281.00,95726.00,DSF0001035045
1,M019,P.S. 19 - MANHATTAN,DOE - RESOA,FY22 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,12/23/2024,DOER,,DOER,141466.00,0.00,DSF0001035064
1,M019,P.S. 315 - MANHATTAN,DOE - RESOA,FY24 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,65000.00,0.00,DSF0001086175
1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,Scope,Complete,5/26/2021,10/12/2021,1/21/2022,124674,160838.00,160838.00,"DSF0000991960, DSF0000991962, DSF0001017426, DSF0001017414, DSF0001017413"
1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,Design,Complete,1/21/2022,6/22/2022,5/10/2022,613841,522010.00,522010.00,"DSF0000991960, DSF0000991962, DSF0001017426, DSF0001017414, DSF0001017413"
1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,Construction,Complete,9/19/2022,6/9/2024,11/19/2024,12987707,12230812.00,12028920.00,"DSF0000991960, DSF0000991962, DSF0001017426, DSF0001017414, DSF0001017413"
1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,"CM,F&E",Complete,9/19/2022,6/9/2024,11/19/2024,944133,358472.00,331525.00,"DSF0000991960, DSF0000991962, DSF0001017426, DSF0001017414, DSF0001017413"
1,M020,P.S. 20 - MANHATTAN,Fast Track Projects,IPDVS INSTALLATIONS,Construction,In-Progress,12/27/2024,FTK,,FTK,2583.00,2583.00,DSF0001087468
1,M020,P.S. 20 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,7/7/2021,DOES,,DOES,206199.00,0.00,DSF0001008690
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Scope,Complete,4/22/2021,9/7/2021,12/21/2021,195550,194302.00,191707.00,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Design,Complete,12/22/2021,6/10/2022,9/16/2022,977750,611348.00,486009.00,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Construction,In-Progress,8/7/2023,8/5/2025,,21999375,21348715.00,12140405.00,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,"CM,F&E",In-Progress,8/7/2023,8/5/2025,,1378813,358922.00,305456.00,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Scope,In-Progress,3/5/2024,6/3/2024,,0,7108.00,1343.00,DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,6000,5372.00,5372.00,DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,88000,88000.00,1128.00,DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,6000,6000.00,4181.00,DSF0001086176
1,M022,NEW EXPLORATIONS - M,Fast Track Projects,LSP- VACUUM PUMPS REPLACEMENTS,Construction,Complete,2/8/2024,FTK,3/31/2025,FTK,186188.00,130500.00,DSF0001068167
1,M022,NEW EXPLORATIONS - M,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,4/14/2023,DIIR,,DIIR,50000.00,0.00,DSF0001033717
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY21 RESO A BATHROOM UPGRADES,Construction,In-Progress,8/6/2021,DOER,,DOER,80736.00,0.00,DSF0000961298
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY25 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,265000.00,0.00,DSF0001112760
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,6/25/2020,10/26/2020,7/21/2020,3482,4450.00,4450.00,DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/21/2020,1/15/2021,3/30/2021,15667,17800.00,17800.00,DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,5/24/2022,3/19/2023,,201929,188076.00,169532.00,DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,5/24/2022,3/19/2023,,234839,264478.00,259136.00,DSF0000960787
1,M025,I.S. 378 - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,3/22/2024,DOES,,DOES,593902.00,0.00,DSF0001085731
1,M034,P.S. 34 - MANHATTAN,SCA CIP RESOA,RESO A AUDITORIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001114011
1,M034,P.S. 34 - MANHATTAN,SCA CIP RESOA,RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,90000,90000.00,0.00,DSF0001114011
1,M034,P.S. 34 - MANHATTAN,SCA CIP RESOA,RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,1320000,1320000.00,0.00,DSF0001114011
1,M034,P.S. 34 - MANHATTAN,SCA CIP RESOA,RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,90000,90000.00,0.00,DSF0001114011
1,M034,P.S. 34 - MANHATTAN,SCA Furniture & Equipment,FY20 RESO A MOBILE SCIENCE LABS,F&E,PNS,PNS,PNS,PNS,140000,140000.00,0.00,DSF0000913873
1,M034,P.S. 34 - MANHATTAN,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,50000.00,0.00,DSF0001007798
1,M034,P.S. 34 - MANHATTAN,DOE - RESOA,FY21 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,12/1/2022,DOER,,DOER,34574.00,0.00,DSF0001007800
1,M034,P.S. 34 - MANHATTAN,DOE - RESOA,FY23 RESO A ROOM CONVERSION,Construction,In-Progress,3/15/2024,DOER,,DOER,103169.00,0.00,DSF0001035626
1,M034,P.S. 34 - MANHATTAN,DOE - RESOA,RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,500000.00,0.00,DSF0001114012
1,M034,P.S. 34 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,Complete,5/25/2022,DOES,6/23/2022,DOES,92365.00,91122.00,DSF0001008949
1,M034,P.S. 34 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,11/6/2024,DOES,,DOES,65832.00,0.00,DSF0001084623
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,4/30/2021,7/30/2021,7/22/2021,27380,43207.00,43207.00,DSF0000992308
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Design,Complete,8/2/2021,2/7/2022,2/1/2022,136900,172599.00,163150.00,DSF0000992308
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Construction,PNS,PNS,PNS,PNS,3080255,3080255.00,104497.00,DSF0000992308
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,"CM,F&E",PNS,PNS,PNS,PNS,191660,191660.00,24270.00,DSF0000992308
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,51.00,51.00,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,92049,91998.00,202.00,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,1350049,1687561.00,0.00,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,92049,115061.00,344.00,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035640
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035640
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035640
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035640
1,M056,J.H.S. 292 - MANHATTAN,SCA IEH,PO18-WE ARE GOING TO NEED AN ABATEMENT AT M056. THE LOCATIONS ARE RMS. 313 AND 213 AND IT'S APPROXIM,Construction,In-Progress,4/12/2024,IEH,,IEH,1666.00,1091.00,SCA0000072923
1,M056,J.H.S. 292 - MANHATTAN,SCA IEH,PO18-ABATEMENT OF PIPE INSULATION 3RD FL SLOP SINK CRAWL SPACE SPACE ID : 4313A ( PIPE CHASE) IT IS,Construction,Complete,10/22/2024,IEH,11/10/2024,IEH,20068.00,12693.00,SCA0000073527
1,M056,J.H.S. 292 - MANHATTAN,DIIT - RESOA,FY20 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,75000.00,0.00,DSF0000913568
1,M056,J.H.S. 292 - MANHATTAN,DOE - RESOA,FY20 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,120291.00,0.00,DSF0000913081
1,M056,J.H.S. 292 - MANHATTAN,DOE - RESOA,FY21 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,8669.00,0.00,DSF0001007786
1,M056,J.H.S. 292 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,12/3/2024,DOES,12/16/2024,DOES,65832.00,,DSF0001084783
1,M056,I.S. 332 - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,5/8/2024,DOES,,DOES,574909.00,0.00,DSF0001085733
1,M056,MANHATTAN CHARTER SCHOOL II,Trust For Public Land,TPL- EXTREME WEATHER PLAYGROUND UPGRADE,Construction,Complete,2/10/2024,TPL,10/26/2024,TPL,2775498.00,2385830.00,DSF0001034698
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Scope,Complete,5/16/2022,9/16/2022,8/2/2022,53927,79317.00,79317.00,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Design,Complete,8/8/2022,2/13/2023,5/8/2023,259893,205673.00,188727.00,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Construction,PNS,PNS,PNS,PNS,5005043,5005043.00,590322.00,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,"CM,F&E",PNS,PNS,PNS,PNS,450541,450541.00,94567.00,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,ROOFS / FLOOD ELIMINATION,Scope,Complete,3/14/2024,7/30/2024,11/18/2024,38009,70196.00,69791.00,"DSF0001111940, DSF0001124017"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,ROOFS / FLOOD ELIMINATION,Design,In-Progress,1/7/2025,6/9/2025,,179955,179955.00,5850.00,"DSF0001111940, DSF0001124017"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,ROOFS / FLOOD ELIMINATION,Construction,PNS,PNS,PNS,PNS,3720987,3720987.00,11532.00,"DSF0001111940, DSF0001124017"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,ROOFS / FLOOD ELIMINATION,"CM,F&E",PNS,PNS,PNS,PNS,344277,344277.00,14967.00,"DSF0001111940, DSF0001124017"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,PATH OF TRAVEL ROOFS,Scope,In-Progress,1/3/2025,4/7/2025,,647,647.00,97.00,DSF0001113795
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,PATH OF TRAVEL ROOFS,Design,PNS,PNS,PNS,PNS,2589,2589.00,389.00,DSF0001113795
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,PATH OF TRAVEL ROOFS,Construction,PNS,PNS,PNS,PNS,37216,37216.00,0.00,DSF0001113795
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,PATH OF TRAVEL ROOFS,"CM,F&E",PNS,PNS,PNS,PNS,9547,9547.00,1142.00,DSF0001113795
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,EXTERIOR MASONRY,Scope,Complete,3/14/2024,7/30/2024,11/18/2024,24247,24247.00,24247.00,DSF0001124021
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,EXTERIOR MASONRY,Design,Complete,1/7/2025,6/9/2025,2/25/2025,74831,74831.00,1816.00,DSF0001124021
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,1065,1065.00,0.00,DSF0001124021
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,EXTERIOR MASONRY,"CM,F&E",PNS,PNS,PNS,PNS,4176,4176.00,4176.00,DSF0001124021
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA IEH,PO18-ACM REMOVAL OF PIPE INSULATION 2ND FLOOR HALLWAY BETWEEN ROOMS 206 AND 208 WE ARE GOING TO NEED,Construction,Complete,9/3/2024,IEH,1/29/2025,IEH,13344.00,1215.00,SCA0000073343
1,M060,EAST SIDE COMMUNITY SCHOOL,Fast Track Projects,COVID VENTILATION,Construction,Complete,11/3/2020,FTK,12/10/2020,FTK,207210.00,196488.00,DSF0000961040
1,M060,EAST SIDE COMMUNITY SCHOOL,Fast Track Projects,ROOF,Construction,In-Progress,5/16/2019,FTK,,FTK,1719207.00,1644453.00,DSF0000912294
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - RESOA,FY21 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,1/31/2022,DOER,,DOER,38764.00,0.00,DSF0000961294
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - RESOA,FY23 RESO A SCIENCE LAB UPGRADE,Construction,In-Progress,2/28/2025,DOER,,DOER,3258120.00,0.00,DSF0001035641
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - RESOA,FY25 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,174000.00,0.00,DSF0001112773
